GAP
GAP
GAP
gap golden orange orange orange orange orange orange orange golden
gap golden gap gap gap gap gap gap gap golden
gap golden gap golden golden golden golden golden gap golden
gap golden gap golden blue blue blue golden gap golden
gap golden gap golden pink pink pink golden gap golden
gap golden gap golden green green green golden gap golden
gap golden gap golden orange orange orange golden gap golden
gap golden gap golden cyan cyan cyan golden gap golden
gap golden gap gap gap gap gap gap gap golden
gap golden gap gap gap gap gap gap gap golden
gap golden golden golden golden golden golden golden golden golden gap
