GAP
GAP
GAP
red red red red red red red red red red red
green green green green green green green green green green green
blue blue blue blue blue blue blue blue blue blue blue
golden golden golden golden red red red golden golden golden golden
golden green green golden silver silver silver golden green green golden
golden red red golden gap gap gap golden blue blue golden
golden gap gap gap gap gap gap gap gap gap golden
golden gap gap gap gap gap gap gap gap gap golden
golden gap gap gap gap gap gap gap gap gap golden
golden gap gap golden green green green golden gap gap golden
golden silver silver golden golden golden golden golden silver silver golden
